claim_id,manuscript_location,claim_text_short,run_id,script,output_table,output_figure,config_file,sha256_of_output
C01,Abstract,CVAP forensic false alarm chi2~12684,vote14,scripts/stage21_vote14.py,vote14_beber_scacco.csv,fig14_naive_vs_encoding.png,run_config_vote14.json,7910ae2a0cd149b8bbc64af39912e6ae542aff177d888191c89bf5ecfd1f825a
C02,Abstract,quotient signal recovered 6/6 at 5% mixture,power13,scripts/stage20_power13.py,power13_quotient_spikein.csv,fig13_quotient_recovery.png,run_config_power13.json,de2ddf261329e40ca9ab1e9249c6400c43e17e11341cd697ab5145d93e4d3878
C03,Abstract,one additive unit destroys detection (AUC 0.44),hard10,scripts/stage17_hard10.py,hard10_degradation.csv,fig10_degradation.png,run_config_hard10.json,64a7327f426d5550b16a2d3875ec87a480ef2a44571033f390d3d4bc48af4ff2
C04,Abstract,~19000 integer channels profiled,corpus,scripts/stage9_build03.py,family_profiles_v3.csv,,run_config_03.json,ac10d2075e66ec0b7b0146ccb4621ae3f3a73b42685dfd663e740fb8d5f6d9bc
C05,Sec3 teardown,"raw (L1,Tail) three-cluster silhouette 0.72",corpus,scripts/stage9_build03.py,,fig03_clusters_raw_vs_derounded.png,run_config_03.json,(figure-only claim; see figures/MANIFEST.sha256)
C06,Sec3 teardown,cluster survival Jaccard 0.39-0.43 after 2*5 strip,corpus,scripts/stage9_build03.py,,fig03_clusters_raw_vs_derounded.png,run_config_03.json,(figure-only claim; see figures/MANIFEST.sha256)
C07,Sec3 teardown,cleaned-space intrinsic dimension 1.16,corpus,scripts/stage11_build05.py,unsup_vs_domain.csv,fig05_umap_embedding.png,run_config_05.json,cb27efa9a5c14d3b9c685a5438dcc20ac19959bd36151ae7e7fa5ceefc025620
C08,Sec3 teardown,residue-quantization controls 10-30x separation,corpus,scripts/stage13_build06a.py,resonance_controls.csv,fig06A_resonance_vs_residual.png,run_config_06a.json,8799e3b43ed838b38203740409683a4bd5ab7ceb4e9e50846b729a89911ba586
C09,Sec4 boundary,"arm excess -0.0184 -> -0.0001 CI [-0.0004,+0.0004]",hunt09,scripts/stage16_hunt09.py,hunt09_residual_rebaseline.csv,fig09_residual_original_vs_core.png,run_config_hunt09.json,f4555d33a8111ac14533430aae3c412bff76fd4c4f22c18f92ea44a06e48bb45
C10,Sec4 boundary,exponent-stacking 1.9% obs vs 100% smooth products,hunt09,scripts/stage16_hunt09.py,hunt09_residual_mechanism.csv,fig09_residual_mechanism.png,run_config_hunt09.json,42f833be199af939eef342a6b8c6f8fceb4526e17aebd624d5e9ac65632b4fe7
C11,Sec4 boundary,binary c2 excess +0.72 with c5 -0.007,hard10,scripts/stage17_hard10.py,hard10_binarygrid.csv,fig10_binarygrid.png,run_config_hard10.json,987e6cd36007fc62a2eb0128c037014bfd079a062ce5cb549b1f547db746d3ef
C12,Sec4 mechanism,grid-coarseness degradation AUC 0.75->chance,hard10,scripts/stage17_hard10.py,hard10_degradation.csv,fig10_degradation.png,run_config_hard10.json,64a7327f426d5550b16a2d3875ec87a480ef2a44571033f390d3d4bc48af4ff2
C13,Sec5 power,"magnitude-matched tier 6/6 at f<=0.10, clean 5/6",power13,scripts/stage20_power13.py,power13_quotient_spikein.csv,fig13_quotient_recovery.png,run_config_power13.json,de2ddf261329e40ca9ab1e9249c6400c43e17e11341cd697ab5145d93e4d3878
C14,Sec5 power,"base-matched adversarial f=0.05, confound-clean 6/6",power13,scripts/stage20_power13.py,power13_confound_check.csv,fig13_quotient_recovery.png,run_config_power13.json,6e0828ffe394b39b0e4be80207ddaca01bda79e7c7a3198e6d1de78b72d11f9d
